lemma,pos,ehitz_freq,syls,syl_n
aba,N,1.097,a-ba,2
abandonu,N,0.549,a-ban-do-nu,4
absolutu,N,8.504,ab-so-lu-tu,4
anei,G,0.549,a-nei,2
intsumiso,N,2.469,in-tsu-mi-so,4
intsumitu,N,3.292,in-tsu-mi-tu,4
intuitibo,G,3.017,in-tu-i-ti-bo,5
intuitiboki,A,1.92,in-tu-i-ti-bo-ki,6
intuitu,V,0.549,in-tu-i-tu,4
intuizio,N,7.407,in-tu-i-zi-o,5
intxaur,N,9.875,in-txaur,2
intxaurrondo,N,1.097,in-txau-rron-do,4
intzestu,N,0.823,in-tzes-tu,3
intzidentzia,N,3.84,in-tzi-den-tzi-a,5
anekdota,N,6.858,a-nek-do-ta,4
intziri,N,3.566,in-tzi-ri,3
intzirika,A,3.292,in-tzi-ri-ka,4
inude,N,2.195,i-nu-de,3
inuit,N,0.549,i-nu-it,3
inurri,N,4.938,i-nu-rri,3
inurritegi,N,1.097,i-nu-rri-te-gi,5
inurritxo,N,0.549,i-nu-rri-txo,4
iodo,N,3.84,i-o-do,3
ioduro,N,0.823,i-o-du-ro,4
ioi,N,9.601,i-oi,2
ioniko,G,1.372,i-o-ni-ko,4
ionizatu,V,0.823,i-o-ni-za-tu,5
ionizazio,N,0.549,i-o-ni-za-zi-o,6
ipar,N,156.909,i-par,2
iparralde,N,9.601,i-pa-rral-de,4
iparramerikar,G,2.195,i-pa-rra-me-ri-kar,6
iparrorratz,N,0.823,i-pa-rro-rratz,4
ipartar,N,0.549,i-par-tar,3
ipini,V,156.909,i-pi-ni,3
anekdotiko,G,0.549,a-nek-do-ti-ko,5
ipotx,N,0.823,i-potx,2
ipuin,N,102.869,i-pu-in,3
ipuintxo,N,1.372,i-pu-in-txo,4
ipurdi,N,11.796,i-pur-di,3
ipurdiko,N,1.372,i-pur-di-ko,4
ipurmasail,N,0.823,i-pur-ma-sail,4
ipurtandi,G,0.823,i-pur-tan-di,4
ipurtargi,N,0.823,i-pur-tar-gi,4
ipurtzulo,N,0.549,i-pur-tzu-lo,4
anelido,N,1.646,a-ne-li-do,4
ira,N,0.823,i-ra,2
irabazi,N,154.715,i-ra-ba-zi,4
irabazle,N,17.282,i-ra-baz-le,4
irabazpen,N,0.549,i-ra-baz-pen,4
irabazpide,N,2.469,i-ra-baz-pi-de,5
irabazpidezko,G,0.823,i-ra-baz-pi-dez-ko,6
irabiagailu,N,0.549,i-ra-bi-a-gai-lu,6
irabiatu,V,2.743,i-ra-bi-a-tu,5
anemia,N,4.115,a-ne-mi-a,4
iradoki,V,6.584,i-ra-do-ki,4
