lemma,ehme_n,ehme_freq,ehme_log,pos,nwords,lemmalength
aarondar,4,0.18,0.07,adj,1,8
ababor,39,1.72,0.43,ize,5,6
abade,537,23.64,1.39,ize,26,5
abadegai,2,0.09,0.04,ize,1,8
abadesa,69,3.04,0.61,ize,8,7
abadetxe,6,0.26,0.1,ize,2,8
abadezulo,2,0.09,0.04,ize,2,9
abadia,67,2.95,0.6,ize,11,6
abadira,1,0.04,0.02,ize,1,7
abadiñar,22,0.97,0.29,adj,4,8
abadiñoar,6,0.26,0.1,adj,3,9
abagadune,2,0.09,0.04,ize,2,9
abagune,302,13.29,1.16,ize,13,7
abaila,78,3.43,0.65,ize,8,6
abaildu,255,11.22,1.09,adi,25,7
abaildura,54,2.38,0.53,ize,9,9
abailgarri,4,0.18,0.07,adj,3,10
abakando,10,0.44,0.16,ize,3,8
abako,31,1.36,0.37,ize,6,5
abal,112,4.93,0.77,ize,13,4
abalatu,3,0.13,0.05,adi,3,7
abaltzisketar,1,0.04,0.02,adj,1,13
abandonatu,745,32.79,1.53,adi,35,10
abandono,10,0.44,0.16,ize,4,8
abandonu,28,1.23,0.35,ize,8,8
abangoardia,223,9.82,1.03,ize,20,11
abangoardismo,2,0.09,0.04,ize,2,13
abangoardista,33,1.45,0.39,adj,13,13
abanguardia,9,0.4,0.15,ize,2,11
abanikatu,3,0.13,0.05,adi,2,9
abaniko,25,1.1,0.32,ize,6,7
abantada,7,0.31,0.12,ize,3,8
abantaila,1464,64.44,1.82,ize,30,9
abantailatsu,20,0.88,0.27,adj,9,12
abantailatu,6,0.26,0.1,adi,3,11
abantailos,4,0.18,0.07,adj,3,10
abantailoski,1,0.04,0.02,adb,1,12
abantean,11,0.48,0.17,adb,1,8
abantxu,54,2.38,0.53,ize,1,7
abantzamendu,2,0.09,0.04,ize,1,12
abantzatu,30,1.32,0.37,adi,10,9
abantzu,159,7,0.9,ize,5,7
abaor,15,0.66,0.22,ize,6,5
abar,2221,97.76,1.99,ize,50,4
abaraska,30,1.32,0.37,ize,6,8
abardura,5,0.22,0.09,ize,2,8
abaritz,2,0.09,0.04,ize,1,7
abarizios,6,0.26,0.1,ize,4,9
abarka,88,3.87,0.69,ize,4,6
abarkadun,12,0.53,0.18,adj,7,9
abarkagintza,1,0.04,0.02,ize,1,12
abarketa,22,0.97,0.29,ize,5,8
abaro,81,3.57,0.66,adj,10,5
abarotsu,1,0.04,0.02,adj,1,8
abarrakitu,5,0.22,0.09,adi,4,10
abarrikatu,3,0.13,0.05,adi,3,10
abarrots,29,1.28,0.36,ize,8,8
abartsu,6,0.26,0.1,adj,4,7
abartu,4,0.18,0.07,adi,3,6
abat,10,0.44,0.16,ize,2,4
abatari,2,0.09,0.04,ize,2,7
abate,6,0.26,0.1,ize,4,5
abatetxe,11,0.48,0.17,ize,5,8
abatitu,1,0.04,0.02,adi,1,7
abatz,6,0.26,0.1,ize,5,5
abaurretar,22,0.97,0.29,adj,7,10
abazuza,2,0.09,0.04,ize,1,7
abbastar,13,0.57,0.2,adj,3,8
abdikatu,5,0.22,0.09,adi,3,8
abdikazio,6,0.26,0.1,ize,2,9
abdomen,11,0.48,0.17,ize,5,7
abdominal,12,0.53,0.18,adj,5,9
abduktore,9,0.4,0.15,adj,5,9
abdukzio,1,0.04,0.02,ize,1,8
abegi,114,5.02,0.78,ize,5,5
abegikor,78,3.43,0.65,adj,14,8
abegikortasun,11,0.48,0.17,ize,5,13
abegitasun,4,0.18,0.07,ize,2,10
abegitsu,53,2.33,0.52,adj,12,8
abelazkuntza,4,0.18,0.07,ize,3,12
abelbide,4,0.18,0.07,ize,4,8
abelburu,28,1.23,0.35,ize,5,8
abeldegi,3,0.13,0.05,ize,3,8
abelera,11,0.48,0.17,ize,3,7
abeletxe,12,0.53,0.18,ize,7,8
abelgorri,29,1.28,0.36,ize,6,9
abeltalde,13,0.57,0.2,ize,5,9
abeltegi,17,0.75,0.24,ize,9,8
abeltxuri,2,0.09,0.04,ize,2,9
abeltzain,162,7.13,0.91,ize,16,9
abeltzaintza,83,3.65,0.67,ize,13,12
abeltzantza,2,0.09,0.04,ize,2,11
abemaria,7,0.31,0.12,ize,4,8
abenda,2,0.09,0.04,ize,2,6
abendu,2859,125.84,2.1,ize,18,6
abenida,91,4.01,0.7,ize,10,7
