ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Goodbye.DEVICE	Group	PleaseChoose.DEVICE	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Welcome.DEVICE	Block	BlockList	BlockList.Cycle	BlockList.Sample	InstructionsExpe.DEVICE	Procedure[Block]	Running[Block]	Trial	Bis.ACC	Bis.CRESP	Bis.DEVICE	Bis.DurationError	Bis.OnsetDelay	Bis.OnsetTime	Bis.OnsetToOnsetTime	Bis.RESP	Bis.RT	Bis.RTTime	Break.DEVICE	Break.FirstFrameTime	Break.FrameRate	Break.FramesDisplayed	Break.FramesDropped	CorrectAnswer	Determiner	Fixation.DEVICE	Fixation.DurationError	Fixation.OnsetDelay	Fixation.OnsetTime	Fixation.OnsetToOnsetTime	Fixation.RESP	Fixation.RT	Fixation.RTTime	Image	Image_red	Item_type	Procedure[Trial]	QSound	Running[Trial]	Sound	Stimulus.DEVICE	TrainingList	TrainingList.Cycle	TrainingList.Sample	TrialList1	TrialList1.Cycle	TrialList1.Sample	TrialList2	TrialList2.Cycle	TrialList2.Sample
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3.0..3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	1	1	1,2	Mouse	-999999	28	1263264	0	1	5304	1268568		0	0	0	0	1,2	?	Mouse	-999999	44	1245964	0	1	7084	1253048	burro	burro_400	Practice	TrialProc	prac.burro.marron	TrainingList	burro	Mouse	1	1	1						
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	2	1	2	Mouse	-999999	19	1281948	0	2	3332	1285280		0	0	0	0	2	?	Mouse	-999999	30	1268598	0	1	3106	1271704	camión	camión_400	Practice	TrialProc	prac.camion.bomberos	TrainingList	camion	Mouse	2	1	2						
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	3	1	1	Mouse	-999999	16	1296782	0	1	2474	1299256		0	0	0	0	1	?	Mouse	-999999	35	1285315	0	2	2317	1287632	pato.blanco	pato.blanco_400	Practice	TrialProc	prac.pato.blanco	TrainingList	pato	Mouse	3	1	3						
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	4	1	1,2	Mouse	-999999	23	1311015	0	2	3025	1314040		0	0	0	0	1,2	?	Mouse	-999999	42	1299298	0	1	2606	1301904	cuchara	cuchara_400	Practice	TrialProc	prac.cuchara.madera	TrainingList	cuchara	Mouse	4	1	4						
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	5	1	2	Mouse	-999999	17	1337616	0	2	2928	1340544		0	0	0	0	2	prop.name	Mouse	-999999	31	1325399	0	1	2393	1327792	16.reyes.magos	16.reyes.magos_400	filler	TrialProc	fill.Reyes	TrialList1	reyes_magos	Mouse				48	1	1			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	6	1	2	Mouse	-999999	24	1355867	0	2	3061	1358928		0	0	0	0	2	generic	Mouse	-999999	39	1340583	0	2	3153	1343736	14.coche.2.puertas	14.coche.2.puertas_400	filler	TrialProc	fill.coches.puertas	TrialList1	coche	Mouse				30	1	2			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	7	1	1	Mouse	-999999	15	1374767	0	1	2433	1377200		0	0	0	0	1	generic	Mouse	-999999	39	1358967	0	2	5985	1364952	6.man.no.teeth	6.man.no.teeth_400	critical	TrialProc	gen.personas.dientes	TrialList1	persona_dientes	Mouse				6	1	3			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	8	1	1	Mouse	-999999	25	1388668	0	1	2388	1391056		0	0	0	0	1	prop.name	Mouse	-999999	34	1377234	0	1	3542	1380776	3.Celedon	3.Celedon_400	filler	TrialProc	fill.Celedon	TrialList1	celedon	Mouse				35	1	4			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	9	1	2	Mouse	-999999	19	1404218	0	2	3078	1407296		0	0	0	0	2	generic	Mouse	-999999	28	1391084	0	1	3588	1394672	8.short.pants	8.short.pants_400	filler	TrialProc	fill.pantalones.cortos	TrialList1	pantalon	Mouse				24	1	5			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	10	1	2	Mouse	-999999	26	1420385	0	2	4415	1424800		0	0	0	0	2	universal	Mouse	-999999	39	1407335	0	1	3113	1410448	9.one-ear-rabbit	9.one-ear-rabbit_400	critical	TrialProc	uni.conejos.orejas	TrialList1	conejo	Mouse				9	1	6			
